GEOID,totalUnits,occupiedUnits,vacantUnits,whiteHouseholds,renterOccupied,vacancyShare,whiteShare,renterShare,name
060750314005,407,383,24,88,106,0.05896805896805897,0.2297650130548303,0.27676240208877284,"Block Group 5,  Census Tract 314"
060750326011,667,611,56,311,434,0.08395802098950525,0.5090016366612111,0.7103109656301145,"Block Group 1,  Census Tract 326.01"
060750326012,576,546,30,240,373,0.052083333333333336,0.43956043956043955,0.6831501831501832,"Block Group 2,  Census Tract 326.01"
060750326013,602,571,31,251,329,0.05149501661129568,0.4395796847635727,0.5761821366024519,"Block Group 3,  Census Tract 326.01"
060750326021,709,673,36,286,312,0.05077574047954866,0.424962852897474,0.4635958395245171,"Block Group 1,  Census Tract 326.02"
060750326022,497,484,13,225,244,0.026156941649899398,0.46487603305785125,0.5041322314049587,"Block Group 2,  Census Tract 326.02"
060750326023,537,512,25,254,276,0.04655493482309125,0.49609375,0.5390625,"Block Group 3,  Census Tract 326.02"
060750327002,507,474,33,229,263,0.0650887573964497,0.4831223628691983,0.5548523206751055,"Block Group 2,  Census Tract 327"
060750327004,327,315,12,138,83,0.03669724770642202,0.4380952380952381,0.2634920634920635,"Block Group 4,  Census Tract 327"
060750328012,538,497,41,244,304,0.0762081784386617,0.4909456740442656,0.6116700201207244,"Block Group 2,  Census Tract 328.01"
060750328022,533,499,34,197,216,0.06378986866791744,0.39478957915831664,0.43286573146292584,"Block Group 2,  Census Tract 328.02"
060750329012,450,423,27,183,115,0.06,0.4326241134751773,0.2718676122931442,"Block Group 2,  Census Tract 329.01"
060750329021,442,421,21,162,133,0.04751131221719457,0.3847980997624703,0.3159144893111639,"Block Group 1,  Census Tract 329.02"
060750330002,405,387,18,193,134,0.044444444444444446,0.49870801033591733,0.3462532299741602,"Block Group 2,  Census Tract 330"
060750331002,393,377,16,188,55,0.04071246819338423,0.4986737400530504,0.14588859416445624,"Block Group 2,  Census Tract 331"
060750332032,606,568,38,330,567,0.0627062706270627,0.5809859154929577,0.9982394366197183,"Block Group 2,  Census Tract 332.03"
060750332042,685,630,55,347,630,0.08029197080291971,0.5507936507936508,1,"Block Group 2,  Census Tract 332.04"
060750351002,489,453,36,214,260,0.0736196319018405,0.47240618101545256,0.5739514348785872,"Block Group 2,  Census Tract 351"
060750351006,348,330,18,123,106,0.05172413793103448,0.37272727272727274,0.3212121212121212,"Block Group 6,  Census Tract 351"
060750352011,383,364,19,134,140,0.04960835509138381,0.36813186813186816,0.38461538461538464,"Block Group 1,  Census Tract 352.01"
060750352014,500,467,33,269,235,0.066,0.576017130620985,0.5032119914346895,"Block Group 4,  Census Tract 352.01"
060750352022,628,581,47,332,413,0.07484076433121019,0.5714285714285714,0.7108433734939759,"Block Group 2,  Census Tract 352.02"
060750353003,373,358,15,139,104,0.040214477211796246,0.388268156424581,0.2905027932960894,"Block Group 3,  Census Tract 353"
060750354001,462,436,26,221,146,0.05627705627705628,0.5068807339449541,0.3348623853211009,"Block Group 1,  Census Tract 354"
060750354005,453,433,20,221,218,0.04415011037527594,0.5103926096997691,0.5034642032332564,"Block Group 5,  Census Tract 354"
060750401004,398,369,29,255,238,0.0728643216080402,0.6910569105691057,0.6449864498644986,"Block Group 4,  Census Tract 401"
060750402003,615,554,61,294,409,0.0991869918699187,0.5306859205776173,0.7382671480144405,"Block Group 3,  Census Tract 402"
060750427001,842,770,72,419,570,0.0855106888361045,0.5441558441558442,0.7402597402597403,"Block Group 1,  Census Tract 427"
060750428003,229,219,10,181,41,0.043668122270742356,0.8264840182648402,0.1872146118721461,"Block Group 3,  Census Tract 428"
060750451002,592,548,44,290,337,0.07432432432432433,0.5291970802919708,0.614963503649635,"Block Group 2,  Census Tract 451"
060750452003,428,395,33,236,174,0.07710280373831775,0.5974683544303797,0.44050632911392407,"Block Group 3,  Census Tract 452"
060750476002,560,518,42,229,257,0.075,0.4420849420849421,0.49613899613899615,"Block Group 2,  Census Tract 476"
060750477011,729,674,55,342,475,0.07544581618655692,0.5074183976261127,0.7047477744807121,"Block Group 1,  Census Tract 477.01"
060750477021,467,436,31,183,231,0.06638115631691649,0.4197247706422018,0.5298165137614679,"Block Group 1,  Census Tract 477.02"
060750478011,520,474,46,239,232,0.08846153846153847,0.5042194092827004,0.48945147679324896,"Block Group 1,  Census Tract 478.01"
060750478022,487,464,23,211,268,0.04722792607802875,0.4547413793103448,0.5775862068965517,"Block Group 2,  Census Tract 478.02"
060750479013,634,590,44,306,292,0.0694006309148265,0.5186440677966102,0.49491525423728816,"Block Group 3,  Census Tract 479.01"
060750479015,512,460,52,266,256,0.1015625,0.5782608695652174,0.5565217391304348,"Block Group 5,  Census Tract 479.01"
060750479023,502,470,32,225,263,0.06374501992031872,0.4787234042553192,0.5595744680851064,"Block Group 3,  Census Tract 479.02"
060750605021,261,252,9,21,251,0.034482758620689655,0.08333333333333333,0.996031746031746,"Block Group 1,  Census Tract 605.02"
060750611001,668,618,50,138,586,0.0748502994011976,0.22330097087378642,0.948220064724919,"Block Group 1,  Census Tract 611"
060750612001,450,419,31,69,206,0.06888888888888889,0.16467780429594273,0.4916467780429594,"Block Group 1,  Census Tract 612"
060750614003,540,512,28,410,238,0.05185185185185185,0.80078125,0.46484375,"Block Group 3,  Census Tract 614"
060750615004,1305,1070,235,652,431,0.18007662835249041,0.6093457943925233,0.402803738317757,"Block Group 4,  Census Tract 615.00"
060750102002,1372,1231,141,1082,965,0.10276967930029154,0.8789601949634444,0.7839155158407799,"Block Group 2,  Census Tract 102"
060750103002,621,545,76,326,401,0.12238325281803543,0.5981651376146789,0.7357798165137615,"Block Group 2,  Census Tract 103"
060750104002,921,829,92,614,627,0.0998914223669924,0.7406513872135102,0.7563329312424608,"Block Group 2,  Census Tract 104"
060750105002,1389,1172,217,865,1082,0.156227501799856,0.7380546075085325,0.9232081911262798,"Block Group 2,  Census Tract 105"
060750107001,474,420,54,247,352,0.11392405063291139,0.5880952380952381,0.8380952380952381,"Block Group 1,  Census Tract 107"
060750107004,1004,933,71,82,922,0.07071713147410359,0.08788853161843516,0.9882100750267953,"Block Group 4,  Census Tract 107"
060750108003,1034,925,109,543,815,0.10541586073500966,0.587027027027027,0.8810810810810811,"Block Group 3,  Census Tract 108"
060750110001,540,504,36,313,412,0.06666666666666667,0.621031746031746,0.8174603174603174,"Block Group 1,  Census Tract 110"
060750111001,1295,1209,86,726,1121,0.06640926640926641,0.6004962779156328,0.9272125723738627,"Block Group 1,  Census Tract 111"
